Português,Tupi Antigo
Abundava o amor de Deus em teu coração outrora,Tynysẽ Tupã raûsuba nde nhy'ãme erimba'e
Ele não foi mesquinho antes de tua vinda aqui diante de mim,Na sa'ubi iké xe robaké nde rur'e'ymebé
Não hei de ir,Asó umẽpe ky
"Alguns somente, outrora, morreram meninos",Mbobyrîõ ipó erimba'e kunumĩ kanhemi
Não fique ele boquejando a meu respeito,T'e'i tenhẽ umẽ xe ri o îuru'aramo
O diabo te agasta,Anhanga nde moabaîté
homem ignorante,abá-tekokuabe'yma
Poluiu-se outrora teu filho por tu o desejares?,O'ẽpe erimba'e nde membyra nde i potasápe?
Resgatando totalmente seus antigos pecados,O angaîpagûera repyme'enga-mbapa
Achegamo-nos um ao outro,Oroîoerobyk
"Espera! Que venha o maldito, primeiro","Enhambé! T'oú-te muru, ranhẽ"
Dois filhotes de pomba sua mãe levou como oferenda,Mokõî pykasu ra'yra i xy ogûerasó îetanongabamo
"Aquele, de fato, não é diferente da cobra",Aîpoba'e tenhẽ n'oîabyî mboîa
"Hás de confessar primeiro tua atração por eles O que diz respeito aos casados, depois",mendasara resendûara tekori
"São maus estes teus servos, não me tratam bem","I angaîpá kó nde boîá, na xe rerekó-katuî"
Que nos leve para seu lugar de felicidade para nos fazer regozijar consigo,T'îandé rerasó o orypápe o îoesé îandé moîekosupa
"Que disseram seus adversários, indo?",Marã e'ipe supîarûera osóbo?
É muito terrível meu nome,I abaeté-katu xe rera
meu avô Jaguaruna,xe ramũîa Îagûaruna
Por qual estado seu transparecia sua angústia?,Marã sekó resépe i angekoaíba îekuabi?
Lancei a âncora,Aîtyk itasama
Não se arrependeram alguns de seus vitupérios após o injuriarem?,Nd'oîmoasyîpe amõ o nhe'engaibagûera iî a'o ré?
Antes sua ida para junto dele no céu que sua ida para o inferno,Ybakype i pyri o só îanondé Anhanga ratápe o só suí
Não sejas mentiroso por causa de ninguém,Nde remo'em umẽ abá resé
Alegrando-se com a morte de alguém,Abá re'õagûera resé og orybamo
"Viemos para te festejar, lançando fora nossa maldade","Oroîu nde momoranga, ore aíba reropó"
"Enfim, à sua esquerda estando os que foram pecadores",Aûîé i asu koty é i angaîpaba'epûera oîkóbone
Procedo muito mal,Marã-marã tenhẽ aîkó
Ainda bem que morreu,Iîá omanõmo
Hoje eu deveria ir,Kori monẽ asó
"Vamos, devagar, para fazer o assalto","T'îasó, mbegûé, îapu'ama"
Eu tenho raízes,Xe rapó
Vivo de mariscos,Paranãmbora ri aîkó
Eu sou acostumado,Sekoba'e ixé
"Semelhante a que é essa graça, o meio de fazê-los bons?",Mba'e nungarape aîpó graça i moangaturãsaba?
"O grande chefe Aimbirê, o pervertedor dos índios","Tubixá-katu Aîmbiré, apŷaba moangaîpapara"
Tua pureza seja igual em mim,Nde poropotare'yma t'oîakatu xe resé
"A ti suspiramos, gemendo",Nebe oronheangerur oré poasemamo
"Seu sangue era muito, escorrendo no chão",Sugûy turusu ybype osyryka
"Apoiando-me na vossa valentia, quero ir","Pe ratãngatu resé gûiîekoka, asó-potá"
ajuntamento de pedregulhos,itakurubi-tyba
"Suportando a escuridão, estamos muito aflitos","Putunusu porarábo, oroîkotebẽngatu"
Não o temais,Peîpoûsub ymẽ
"Comeu aquele fruto, causa da morte, que Deus dissera?","O'u nhẽpe a'e 'ybá, tegûama, Tupã 'îaba?"
Transgrediria o homem a palavra de Deus assim os conhecendo?,Oîabypemo abá Tupã nhe'enga emonã sekokuapa?
o lado direito dele,iî apé
"Está limpa, como se vê, a cova da lebre",I pe'ybĩ nakó tapiti kûara
Quantos são os chefes principais por aqui?,Mobype tubixá-katu kybõ?
Apanhei-as,Aîapûapyk
bolota de sal,îukyrapu'a
Fiquei-o contando,Aîkuabe'u-be'u
"o que entrega os reféns, o redentor",morepy me'engara
"E onde está aquele limbo, morada das crianças que não foram batizadas?",Umãmepe a'e putunusu pitanga nhemongaraibypyre'yma rekoaba rekóû?
Bateste com um pau na tua esposa!,Ereropûar ybyrá nde remirekó resé!
Eu me fico levantando nas pontas dos pés,Xe pyta'ã-ta'am
o que seria morto,miîukarambûera
Eu tenho o andar escarrapachado,Xe atá-îaî
Sua própria formosura também viram,O aysó abé osepîak
"o que é raro, poucas vezes visto ou que se não acha a cada passo",setapokãba'e
coisa rapada,mba'e-apina
"Caem, às vezes, os frutos das suas árvores, sendo ainda flores",Okuî rakó amũme 'ybarambûera o 'yba suí ybotyramo oîkóbo bé
Havemos de ir à árdua guerra?,T'îasó maranatãûãme?
Corta-o pela sua base,Iî aŷpy rupi eîasy'ab
Deus o tomou,Tupã tari
Ajudaste alguém num roubo?,Ereîpytybõpe abá mondá resé?
Vomitas cauim?,Ereîmoîebype kaûĩ?
Que transformou outrora em mundo?,Mba'epe erimba'e oîmonhang 'aramo?
"Será que Nosso Senhor estava muito angustiado, longamente rezando a Ele?",I angekoaí-katu serã Îandé Îara i mongetapukûabo?
Não pode alguém casar-se com seu parente verdadeiro?,Nd'e'ikatuîpe abá o anameté resé omendá?
"Que eles bem perdoem hoje a nós, dando anzóis","T'i nhyrõngatu kori îandébo, pindá me'enga"
"Tu tiveste polução, tendo desejos sensuais?",Erenhemoa'ypupukype nde poropotaramo?
muitas chamas de fogo,tatá-endy-etá
"Os temiminós de dia confessam seus pecadilhos, somente",Temiminõ 'arybo nhẽ oîmombe'u o angaîpá-mirĩ anhõ
"Seus amigos, os franceses, trouxeram armas de fogo em vão","Saûsupara, aîuruîuba, mokaba ogûeru tenhẽ"
"Havemos de chegar ao céu, ao lugar em que tu te revelas",T'orobasẽne ybakype nde îepîakukasápe
Pensa em vir para vos espantar,Oú-mo'ang pe mondyîa
"Destila tuas lágrimas, por detestá-los",Nde resa'y eîmondyky seroŷrõsápe
"O diabo te agasta, de ti tendo medo","Anhanga nde moabaîté, nde suí osykyîébo"
"Diante deles os diabos ajuntando-se, querendo engoli-los","Sobaké Anhanga onheŷnhanga, i mokona motá"
Vem para amedrontá-lo,Eîori i mosykyîébo
Eu sou homem manso,Abanherane'yma ixé
Eu tenho vermes,Xe rasok
curral dos porcos,taîasu rokaîa
Cortei um pedaço dela,Aîasy-'ab
Meu senhor!,Xe 'a!
Tomara não seja eu o que jazerá primeiro,N'aîkóî ipó irã tuîba'eramo ranhẽne re'a
furna em penedos ou rochas,itá-kûarusu
"Acaso insistiram muito, então, os que o levaram, ficando a gritar?","Oîeîukaaíb-eté serã serasoaretá a'ereme, oposẽ-posema?"
Amarrei-lhe as pernas,Aîkupy-pûar
Que sejamos dignos do lugar futuro de nosso regozijo,T'oré angaturãne oré îekosubagûama ri
"Chamei-o, de fato, mas nem por isso veio",Asenõî nakó naeroîaî turi
canto dela,sendybangã
Eu sou muito perebento,Xe peré-pereb
"Vingar-me-ei dele no futuro, certamente",Aîepyk ipó irã seséne
Não confio em Macaxeras,Nd'arobîari Makaxera
Barreei a casa com terra,Oka aîyby-apetek
"Detestando-os muito, tratai-los muito mal","I amotare'ymetébo, perekoaí-aí"
Tu não tens o coração arrebentado de aflição,Tekotebẽ suí nde nhy'ã-boke'ymi
O que se compraz em seu sonho mau,O ké-poxy omboryba'e
raro,pokangi nhõte
"Atravessando o céu, foi, deixando-te","Ybaka rasapa, osó, nde reîá"
"Eu açouto gente, de costume",Xe poronupã îá
Vou a pé,Xe py resé nhẽ asó
Aquecendo-se perto do fogo,Tatá ypype oîepegûabo
"Meu senhor, eis que eu não sou digno de que entres em meu coração","Xe îar, na xe angaturami ã a'emo ereîké xe py'ape"
Acusando uma mulher para seu marido,Kunhã kuaûká i mena supé
Para quem a gente reza pela felicidade futura de sua alma?,Abá supépe asé îeruréû o 'anga rekokaturama resé?
Bem feito! Ambos queimareis em conjunto,Iîamuru! Mokõîbé pekaî oîepegûasune
"Ao vir eu, encontrei o que guardara","Xe rureme, asobaîtĩ xe remierekopûera"
E este?,A'e-p'ikó?
Digo novamente,A'é benhẽ
"Assim como esta água lava o corpo da gente, aquela também","Akó 'y asé reté moîasuka îabé, akûeîa îabé"
A crença na dança enche os corações deles,Moraseîa rerobîara i py'a îaîporaká
"E por outra parte, semelhantemente, o próprio mar será mais terrível do que é seu costume",Kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé
Arrepende-se muito de seus pecados em seu coração,Omboasy-katu o angaîpaba o py'ape
Esfregaste teu pênis excitado?,Ereîkytykype nde ragûyrõ?
Medi a profundidade dele,Atypy-a'ang
Mas não se esforçam esses por aprender sempre?,N'osa'angi-tep'akó nhembo'e ko'arapukuî?
isso mesmo,ebokûeîba'e a'e
"Oh, guarda-te de acreditar neles!","Ahẽ, teumẽ serobîá!"
"Espera! Que venha o maldito, primeiro, chegando com sua ferocidade","Enhambé! T'oú-te muru, ranhẽ, o nharõ rerobasema"
Quero muito apanhá-las com os que atacam as pessoas,Aîpysy-potá-katu morepenhandara ri
"E os rapazes que perseguem mulheres, fugindo sempre?","A'epe kunumĩgûasu kunhã oîmomosemba'e, onhegûasema memẽ?"
Eu tenho olhos enevoados,Xe resá-oby
Insisti,Na xe apysáî
Por que ele vive tendo coisas boas mais que eu?,Marãmo ahẽ rekóû o mba'ekaturamo xe suí?
"Suas palavras transgredindo muito, amaldiçoando-o","I nhe'enga abŷabo-tekatu, i momburûabo"
Esmigalhei-o,Aîkumirik
Vôo como este vento,Abebé kó ybytu îá
Amarra tua rede ao lado de mim,Eîotĩ nde kesaba xe porupi
Eu também sou um porco,Xe abé taîasugûaîa
Pus o sapato,Aîpyapasá-mondeb
Dei coisas para outra pessoa que não a meu pai,Aîme'eng mba'e xe ruba taté nhẽ
Lembrai-vos das almas dos defuntos,Penhemoma'enduar ambyra 'angûera
Não querendo transgredir a boa lei,Tekó-katu aby potare'yma
ao amanhecer,ko'ẽme
Sei fazer isso,A'ekatu eboûinga resé
Ele me deixou sem palavras,Xe nhe'ẽmbyk ahẽ
Acreditai um pouco mais nele,I pyrybé perobîá
Descansa Não é muito forte o maíra,Nde pytuẽ Na satãngatuî maíra!
Como Deus fará com os que os cumprem?,Marãpe Tupã i moposara rerekóûne?
"A noite em que estava ele como presa dos judeus, os cristãos não estavam felizes","Putuna îudeus i pysykagûeramo sekóreme, cristãos rorybe'ymamo"
Assim que eu vou,Xe só abé
"como isto, como este",koba'e îá
barrancos,yby'ã-by'ama
Não honram seu criador,N'omoetéî o monhangara
"Depois disso, hei de atacá-los",A'e ré t'asepenhan!
Eu tenho dores de parto,Xe membyrasy
Toma-nos a dianteira sempre o diabo,Îandé rokesỹ memẽ anhanga
"Tu, ao contrário, obedece a ele!",-Esapîá-te!
Vê minha doença para que te compadeças de minha alma,Esepîak xe mara'ara t'eresaûsubar xe 'anga
Tendo também coroas vermelhas e brilhantes,Akanetá-pyrã-beraba reroínano
rio direito,y-atã
"Depois disso, vamos hoje para quebrar as cabeças dos reis",A'e ré kori îasó tubixaba akanga kábo
"Eu sou Guaixará bebedor de cauim, comedor de gente, queimador de gente, diabo trucidador de gente","Gûaîxará kagûara ixé, morûara, moroapŷara, anhanga morapitîara"
"se humilha, arrependendo-se de suas maldades","Onhemomboreaûsub, o angaîpaba moasŷabo"
Eu tenho o coração palpitante,Xe py'a-tytyk
a sela do cavalo,kabaru repanakũ
Ralo-o,Aseé
Nem por isso se importa com o resgate de seus antigos pecados,Ndaeroîaî o ekoangaîpagûera repyme'engagûama resé o putupabamo
Ele está feliz,Soryb
Eis que agora eu pereço,Akanhem kó ixé re'a
"Tendo medo, farias bem","Esykyîébomo, ereîkó-katumo"
"Fazemos passar as flechas dos malditos, diante deles esquivando-nos","Îamongûá moxy ru'uba, i xupé îaîemoîtỹamo"
"Naquela época, após criar-se o mundo",Akoraka'e 'ara nhemonhang'iré
Havemos de anunciar futuramente sua partida,T'îaîmombe'u é irã i îepaboka
Orando eu para Deus,Tupã supé ûiîerurébo
Derrama tuas lágrimas,Eîmo'ẽ nde resa'y
se for assim,emonãneme
Que bom seria se eu fosse!,Marãîasûaramo asó mã!
Mas olha primeiro! Olha cá!,Ema'ẽ-te ranhẽ!
"Matemos meu marido e, então, casemos um com o outro","T'îaîuká xe mena, a'ereme t'îamendar îandé îoesé"
"Oh, por acaso isto é o diabo?!","Îu, anhangap'ikó ri?!"
Esfalfei-o,Aîmoa'ypab
"Tomaste, sem razão, alguma coisa de alguém?",Ereîar tenhẽpe abá mba'e amõ?
Reconciliei-os um com o outro,Anhonongatu o îoupé
Que me guarde sempre,Ta xe rarõ memẽ îepi
Deus revelar-se-á a mim,Tupã îepîakukari xebene
Por que ele vive tendo coisas boas mais que eu?,Marãmo ahẽ rekóû o mba'e-katuramo xe suí?
Vem para me governar,Îori xe rekomonhanga
Sairão ainda futuramente dali?,Osem-y bépe irã a'e suíne?
a que é alforriada,i mokunhãetepyra
"o sem mãe, o órfão de mãe",sye'yma
Pensaste nalguma mulher?,Nde py'anhemongetápe kunhã amõ resé?
Castrei-os,Asapi'anupã
"Estas rãs, minhas presas, que as comas","Ikó îu'i, xe rupîara, t'ere'u"
Vamos ver se fará hoje realmente algum milagre diante de mim,Oîmonhang ipó kori milagre amõ xe robakéne re'a
Em seu ventre Deus recebeu seu próprio corpo,Sygépe o eterama Tupã tari
Não o deixes afastar daqui minha morada,Eseîyî-ukar umẽ iké suí xe retama
morrendo ele,omanõmo
Preferiam outrora as pessoas que as matassem?,Oîpotarĩ-p'amẽ abá erimba'e o îuká?
"Eu sou Guaixará bebedor de cauim, grande cascavel, onça, trucidador de gente","Gûaîxará kagûara ixé, mboîtiningusu, îagûara, morapitîara"
"Empregaste alguém por ocasião de um feriado, fazendo-o trabalhar em algo?",Ereîmoingópe abá 'aretéreme marã i moporabykŷabo?
Hei de louvar muito meu pai,Aîmoeté-katupe xe ruba ká
Hei de me aproximar muito dela para ver bem sua beleza,Aroby-katupe ká i porangepîá-katûabo
Consolar os aflitos,Oîkotebẽba'e moapysyka
Eu estou caindo de sono,Xe kerapará-parar
Levei-o secretamente,Arasó-nhemim
"Queimo-te hoje, como de costume!","Oroapy kori, îandu!"
"Hei de ir adiante de vós, como vosso espião, primeiro","T'akûáne pe renondé, pe manhanamo, ranhẽ"
Quase o matei,Aîukasûer
"mingau grosso, massa",apytaîyka
Já se juntaram por causa disso as velhas e os velhos,Onheŷnhang umã sesé gûaîbĩ tuîba'e abé
Eis que aqui estou como teu filho pecador,Kobé aîkó nde ra'yrangaîpabĩnamo
o limite de minha roça,xe kó robapy
a mortandade da caça,so'o paba
Eu estou cambaleando,Xe agûy-agûy
Quem será como eu?,Abá serã xe îabé?
Sob as mãos do diabo está,Anhanga pó gûyrybo nhẽ sekóû
Dissestes tolices?,Mba'epûera peîépe?
"Vem para espantar o diabo, para não nos vencer","Îori, anhanga mondyîa, oré moaûîé suí!"
Que vades regozijar-vos com o que é desejado,Ta pesó peîekosupa i potarypyra ri
Tratando-se uns aos outros como que numa fraternidade,Oîoasykûera ri îasûaramo oîoerekóbo
Replico a Pero,Aînhe'ẽpoepyk Pero
sua cerviz ficando a esmurrar,i aŷpy atyká-tykábo
Há de ser coisa insignificante somente,A'uba nhote i por re'a
Permaneço eu o seu guardião,Aîkobé n'ixé sarõana
"A noite toda, após sua grande bebedeira, vou falar aos ouvidos dos índios","Pysaré, i ka'ugûasu riré, asó abá rerobobõmo"
"Os que são maus, que o tomam, recebem a morte em si",I poxyba'e tasara te'õ ogûar o îoupé
folha tenra,só-kyra
o que se defronta com a morte,Tegûama porarasara
Como recompensa também de seu arrependimento delas,I moasyagûera repyramono
"Ao cair a morte neles, as almas dos homens morrem",Oîoesé te'õ 'asápe abá 'anga re'õû nhẽ
Qual é também o alimento de nossa alma?,Mba'e abépe asé 'anga remi'u?
Muito a propósito comportei-me como filho de Deus,A'eboé Tupã ra'yramo anhemoingó re'a
"Porventura é terra, na verdade, a nossa carne?",Yby anhẽ nipó asé ro'o?
"Hoje, assim, nossa estada de modo nenhum nos impedem","Kori, nã, îandé rekó îandé moarûapa angá"
Minha embarcação,Xe ruru
Trazendo algumas linhazinhas,Inimbó'i amõ reru
Trato-o como se fosse meu filho,Xe ra'yra berame'ĩ arekó
"Ele, com a mãe de Deus, foi o que criou a Jesus, Deus",A'e niã Tupã sy irũnamo Tupã Jesus mongakuasaramo sekóû
"Aquele pão o padre o partiu, certamente",A'e miapepûera abaré oîmbo'i re'a
"São Pedro, com seus companheiros, tomou São Matias como apóstolo",São Matias S Pedro o irũetá resebé tari apóstoloramo
Vamos comigo somente até Nhoesembé,T'îasó xe irũnamo Nhoesembépe nhote
Colocando o boi capim às pressas para impedi-lo,Tapi'irusu sarûápe kapi'ĩ anhẽ rerupa
Não faz sentido ele fazer a defesa da morte fora de Jesus Cristo,N'i aîarõî Îesu Cristo taté é te'õ suí i îepirapûana
Havemos de ir,T'asóne - Hei de ir T'orosóne
"Para se vingar de seu cão que cria, um homem não o alimenta","O eîmbaba îagûara resé oîepyka, abá n'oîmomba'e'uî"
Pronuncia-o bem,Esa'ãngatu
Eles se consolam muitíssimo,I apysy-katueté
Que me livre das dificuldades,Ta xe pysyrõ marãtekó suí
Deste atenção a tua confissão?,Ereîeapysaká-katupe nde nhemombe'urama resé?
Destila tuas lágrimas,Nde resa'y eîmondyky
Vêm em vão para me afastar,Oú tenhẽ xe pe'abo
"Estando diante de Deus, de mim não te afastas","Tupã robaké eîkóbo, xe suí nd'eresyryki"
Eu tenho usagre,Xe 'apiraíb
"Contendo a Deus, está cheio teu ventre","Tupana rerupa, i por nde rygé"
"Isso não tem meio de se contar, ainda que o sol se pusesse!","Aîpó n'i papasabi, kûarasymo oîké îepémo!"
"Esse é meu antigo enforcador, uma taturana","Akó xe îubykarûera, tataûrana!"
característica de homem mau,apŷabaíba rekoaba é
A ti suspiramos,Ndebe oronheangerur
Nossa comida de cada dia dá hoje para nós,Oré remi'u 'ara îabi'õndûara eîme'eng kori orébe
"Depois de querer vê-lo, em vão, desde muito tempo atrás",Kûesenhe'ym bé sepîá-potá tenhẽ roîré
"A cobra, antes de fazer destruir a vida daquele que morde, deixa sua própria vida, ao pisarem sua cabeça","Mboîa o emindu'u rekobé mokanhemukar-y îanondé, o ekobé reîari o akanga patukasagûerype"
O oposto do comer demais é comer somente o suficiente,Mba'e 'u-eté-eté robaîara oîá nhote mba'e 'u
Bebendo cauim só o suficiente,Oîakatu nhote okagûabo-eté
O jejum difere de não comer carne,Îekuakuba oîkoé so'o gûabe'yma suí
São numerosos os que não são conhecidos,Se'yî i kuabypyre'yma
"Como que fazendo as pessoas viverem, mas não de verdade","Oporomoingobébo rame'ĩ, na supi ruã-te"
Ele morre,Se'õ
"Certamente, eis que percebendo isso, deixei ontem minha casa","Aûîeté, kó anga andupa, aseîá kûesé xe roka"
Eu tenho pés tortos,Xe are'a
"Não tenho a ver com ele, enfim",N'aîkóî sesé ko'yté
para adiante de Lisboa,Lisboa amongoty
à vista dele,sobábo
o limiar da porta,okena robapy
Acaso tu és o rei dos judeus?,Îudeus rubixabapiã nde?
"armeiro, fazedor de armaduras",itaaoba monhangara
Estou preso nos ferros,Itá resé aín
Vieram para consolá-lo,Our i moapysyka
Eu sou novo,Xe pysasu
A todos nós espantaria,Opá îandé moputupabymo
Eu enviuvei,Xe remirekoe'õ
"Querendo isso, fez-se homem, não deixando de ser Deus","Aîpó potá é erimba'e nhemoapŷabi, Tupãnamo o ekó po'ire'yma"
